
time,gfx,gFy,gFz,wx,wy,wz,Bx,By,Bz,I,
3.5710,-0.0078,0.2267,0.9772,0.0024,0.0086,-0.0318,26.9400,-14.1600,-23.0400,40.0000,
3.5780,-0.0078,0.2267,0.9772,0.0024,0.0086,-0.0318,26.9400,-14.1600,-23.0400,90.0000,
3.5820,-0.0117,0.2267,0.9733,0.0024,0.0086,-0.0318,26.9400,-14.1600,-23.0400,90.0000,
3.6600,-0.0117,0.2267,0.9733,-0.0012,0.0122,-0.0073,26.9400,-14.1600,-23.0400,90.0000,
3.6630,-0.0117,0.2267,0.9733,-0.0012,0.0122,-0.0073,26.9400,-14.1600,-23.0400,90.0000,
3.6990,-0.0117,0.2267,0.9733,-0.0012,0.0122,-0.0073,26.7600,-14.1000,-22.8000,90.0000,
3.7640,-0.0117,0.2267,0.9733,-0.0012,0.0122,-0.0073,26.7000,-13.9800,-22.8000,90.0000,
3.9450,-0.0313,0.2345,0.9890,-0.0012,0.0122,-0.0073,26.7000,-13.9800,-22.8000,90.0000,
3.9520,-0.0313,0.2345,0.9890,-0.0232,0.0098,0.0098,26.7000,-13.9800,-22.8000,90.0000,
3.9530,-0.0313,0.2345,0.9890,-0.0232,0.0098,0.0098,26.7000,-13.9800,-22.8000,90.0000,
3.9550,-0.0313,0.2345,0.9890,-0.0232,0.0098,0.0098,26.8800,-13.8000,-22.8000,90.0000,
3.9610,-0.0313,0.2345,0.9890,-0.0232,0.0098,0.0098,26.8800,-14.1000,-22.5000,90.0000,
3.9760,-0.0117,0.2228,0.9850,-0.0232,0.0098,0.0098,26.8800,-14.1000,-22.5000,90.0000,
4.0600,-0.0117,0.2228,0.9850,0.0000,0.0513,-0.0098,26.8800,-14.1000,-22.5000,90.0000,
4.0630,-0.0117,0.2228,0.9850,0.0000,0.0513,-0.0098,26.8800,-14.1000,-22.5000,90.0000,
4.1000,-0.0117,0.2228,0.9850,0.0000,0.0513,-0.0098,26.9400,-14.1000,-22.4400,90.0000,
4.1610,-0.0117,0.2228,0.9850,0.0000,0.0513,-0.0098,26.8800,-13.9200,-22.5000,90.0000,
4.1800,0.0117,0.2228,0.9616,0.0000,0.0513,-0.0098,26.8800,-13.9200,-22.5000,90.0000,
4.2600,0.0117,0.2228,0.9616,0.0098,0.0012,-0.0574,26.8800,-13.9200,-22.5000,90.0000,
4.2630,0.0117,0.2228,0.9616,0.0098,0.0012,-0.0574,26.8800,-13.9200,-22.5000,90.0000,
4.2940,0.0117,0.2228,0.9616,0.0098,0.0012,-0.0574,26.7600,-14.1000,-22.7400,90.0000,
4.3620,0.0117,0.2228,0.9616,0.0098,0.0012,-0.0574,26.9400,-14.1600,-22.7400,90.0000,
4.3880,-0.0235,0.2267,0.9616,0.0098,0.0012,-0.0574,26.9400,-14.1600,-22.7400,90.0000,
4.4320,-0.0235,0.2267,0.9616,0.0098,0.0012,-0.0574,26.9400,-14.1600,-22.7400,40.0000,
4.4680,-0.0235,0.2267,0.9616,0.0342,0.0635,-0.0916,26.9400,-14.1600,-22.7400,40.0000,
4.4720,-0.0235,0.2267,0.9616,0.0342,0.0635,-0.0916,26.9400,-14.1600,-22.7400,40.0000,
4.4920,-0.0235,0.2267,0.9616,0.0342,0.0635,-0.0916,27.0600,-14.1600,-22.6800,40.0000,
4.5590,-0.0235,0.2267,0.9616,0.0342,0.0635,-0.0916,27.0000,-14.2800,-22.6800,40.0000,
4.5860,-0.0274,0.2658,0.9811,0.0342,0.0635,-0.0916,27.0000,-14.2800,-22.6800,40.0000,
4.6600,-0.0274,0.2658,0.9811,0.2016,0.0000,0.0513,27.0000,-14.2800,-22.6800,40.0000,
