
time,gfx,gFy,gFz,wx,wy,wz,Bx,By,Bz,I,
3.1860,-0.0977,0.3753,0.9577,0.1002,0.2358,-0.1222,18.6600,14.1600,-34.2000,0.0000,
3.2070,-0.0860,0.3674,0.9772,0.1002,0.2358,-0.1222,18.6600,14.1600,-34.2000,0.0000,
3.2280,-0.0860,0.3713,0.9616,0.1002,0.2358,-0.1222,18.6600,14.1600,-34.2000,0.0000,
3.2480,-0.0938,0.3948,0.9225,0.1002,0.2358,-0.1222,18.6600,14.1600,-34.2000,0.0000,
3.2570,-0.0938,0.3948,0.9225,0.1930,-0.4203,-0.1613,18.6600,14.1600,-34.2000,0.0000,
3.2600,-0.0938,0.3948,0.9225,0.1930,-0.4203,-0.1613,18.6600,14.1600,-34.2000,0.0000,
3.2670,-0.0899,0.3870,0.9186,0.1930,-0.4203,-0.1613,18.6600,14.1600,-34.2000,0.0000,
3.2860,-0.0938,0.3948,0.9186,0.1930,-0.4203,-0.1613,18.6600,14.1600,-34.2000,0.0000,
3.3000,-0.0938,0.3948,0.9186,0.1930,-0.4203,-0.1613,17.7000,14.2200,-34.5600,0.0000,
3.3060,-0.0977,0.4026,0.9147,0.1930,-0.4203,-0.1613,17.7000,14.2200,-34.5600,0.0000,
3.3280,-0.0821,0.4183,0.9342,0.1930,-0.4203,-0.1613,17.7000,14.2200,-34.5600,0.0000,
3.3550,-0.0860,0.4183,0.9381,0.1930,-0.4203,-0.1613,17.7000,14.2200,-34.5600,0.0000,
3.3700,-0.0899,0.4183,0.9460,0.1930,-0.4203,-0.1613,17.7000,14.2200,-34.5600,0.0000,
